Precio,Barrios,Expensas,Ambientes,MetrosCuadrados,Direccion,Dolarizado,PrecioPesos,PrecioM2Pesos,ID,Latitud,Longitud
$ 550.000,"Núñez, Capital Federal",$ 50.000 Expensas,3.0,76.0,"11 DE SEPTIEMBRE 3300,Núñez, Capital Federal, Buenos Aires, Argentina",no,550000.0,7236.842105263157,53255447,-34.5362362,-58.467997
$ 450.000,"Almagro, Capital Federal",$ 50.000 Expensas,2.0,35.0,"Muñiz 164,Almagro, Capital Federal, Buenos Aires, Argentina",no,450000.0,12857.142857142857,53255490,-34.615648246938775,-58.427319408163264
$ 240.000,"Belgrano C, Belgrano",$ 50.000 Expensas,2.0,40.0,,no,240000.0,6000.0,53258182,46.3144754,11.0480288
$ 250.000,"La Boca, Capital Federal",$ 39.000 Expensas,1.0,33.0,,no,250000.0,7575.757575757576,53264173,46.3144754,11.0480288
$ 500.000,"Núñez, Capital Federal",$ 40.000 Expensas,3.0,65.0,"Av. San Isidro 4700,Núñez, Capital Federal, Buenos Aires, Argentina",no,500000.0,7692.307692307692,53267706,,
$ 250.000,"Retiro, Capital Federal",$ 33.000 Expensas,,28.0,"san martin 991,Retiro, Capital Federal, Buenos Aires, Argentina",no,250000.0,8928.57142857143,53268230,-34.596396446938776,-58.374260514285716
$ 250.000,"Flores, Capital Federal",$ 45.000 Expensas,1.0,35.0,"AV ALBERDI 2900. Entre Av san pedrito y Quirno,Flores, Capital Federal, Buenos Aires, Argentina",no,250000.0,7142.857142857143,53264493,,
USD 250,"Once, Capital Federal",,1.0,30.0,"Viamonte al 2700,Once, Capital Federal, Buenos Aires, Argentina",si,242500.0,8083.333333333333,53275686,,
USD 2.400,"Palermo, Capital Federal",,4.0,240.0,"Julian Alvarez 1649,Palermo, Capital Federal, Buenos Aires, Argentina",si,2328000.0,9700.0,53264664,-34.592024646938775,-58.42294301836735
$ 370.000,"Villa Real, Capital Federal",,2.0,54.0,"Pje echevarria   5300,Villa Real, Capital Federal, Buenos Aires, Argentina",no,370000.0,6851.851851851852,53278849,,
USD 1.400,"Barrio Norte, Capital Federal",$ 124.000 Expensas,5.0,293.0,"Anchorena al 1200,Barrio Norte, Capital Federal, Buenos Aires, Argentina",si,1358000.0,4634.81228668942,53278911,-34.595378,-58.4066871
$ 370.000,"Palermo, Capital Federal",$ 95.000 Expensas,1.0,37.0,"Gurruchaga 2300,Palermo, Capital Federal, Buenos Aires, Argentina",no,370000.0,10000.0,53279159,-34.5845149,-58.4221892
$ 260.000,"Flores, Capital Federal",$ 25.000 Expensas,1.0,40.0,"ARANGUREN 2700,Flores, Capital Federal, Buenos Aires, Argentina",no,260000.0,6500.0,53310687,-34.6243538,-58.4692245
$ 310.000,"Palermo Soho, Palermo",$ 40.000 Expensas,,33.0,,no,310000.0,9393.939393939394,53310838,46.3144754,11.0480288
$ 330.000,"Balvanera, Capital Federal",$ 85.000 Expensas,1.0,34.0,"Viamonte al 1800,Balvanera, Capital Federal, Buenos Aires, Argentina",no,330000.0,9705.882352941177,53310917,-34.6008055,-58.3927613
$ 190.000,"Floresta, Capital Federal",$ 35.000 Expensas,1.0,45.0,"BAHIA BLANCA 76,Floresta, Capital Federal, Buenos Aires, Argentina",no,190000.0,4222.222222222223,53311032,-34.632765010204075,-58.480752548979595
$ 260.000,"Balvanera, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,Balvanera, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311060,-34.6136943,-58.4063831
$ 260.000,"Almagro, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,Almagro, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311061,-34.614103,-58.4128679
$ 260.000,"Almagro, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,Almagro, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311061,-34.614103,-58.4128679
$ 260.000,"Boedo, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,Boedo, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311062,,
$ 260.000,"San Cristobal, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,San Cristobal, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311064,,
$ 260.000,"Monserrat, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,Monserrat, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311066,-34.6111572,-58.3694586
$ 260.000,"San Nicolás, Capital Federal",$ 37.523 Expensas,2.0,37.0,"Moreno 2900,San Nicolás, Capital Federal, Buenos Aires, Argentina",no,260000.0,7027.027027027027,53311073,,
$ 400.000,"Villa Ortuzar, Capital Federal",$ 85.000 Expensas,2.0,70.0,"Avenida Triunvirato 3000,Villa Ortuzar, Capital Federal, Buenos Aires, Argentina",no,400000.0,5714.285714285715,53311145,-34.584764,-58.464733
$ 250.000,"Monserrat, Capital Federal",$ 45.000 Expensas,2.0,25.0,"Virrey Cevallos 600,Monserrat, Capital Federal, Buenos Aires, Argentina",no,250000.0,10000.0,53311416,-34.6155183,-58.3889001
$ 300.000,"Balvanera, Capital Federal",,3.0,65.0,"Jujuy 207,Balvanera, Capital Federal, Buenos Aires, Argentina",no,300000.0,4615.384615384615,53311453,-34.61257801323617,-58.40569964056598
USD 800,"Palermo, Capital Federal",$ 98.000 Expensas,2.0,65.0,"General Manuel N. Savio 400,Palermo, Capital Federal, Buenos Aires, Argentina",si,776000.0,11938.46153846154,53311519,-34.5735197,-58.4362684
$ 650.000,"Belgrano, Capital Federal",$ 90.000 Expensas,3.0,68.0,"Franklin D Roosevelt al 2600,Belgrano, Capital Federal, Buenos Aires, Argentina",no,650000.0,9558.823529411764,53311600,-34.5574333,-58.4606717
USD 340,"Villa Luro, Capital Federal",$ 39.000 Expensas,2.0,42.0,"AV. Lope DE Vega al 1100,Villa Luro, Capital Federal, Buenos Aires, Argentina",si,329800.0,7852.380952380952,53311642,-34.6323428,-58.5005242
$ 300.000,"Caballito, Capital Federal",,2.0,38.0,,no,300000.0,7894.736842105263,53311719,46.3144754,11.0480288
$ 650.000,"Villa Devoto, Capital Federal",$ 85.000 Expensas,3.0,62.0,"benito juarez,Villa Devoto, Capital Federal, Buenos Aires, Argentina",no,650000.0,10483.870967741936,53311762,-34.6037736,-58.5194929
$ 500.000,"Flores, Capital Federal",,3.0,61.0,"Ramon Falcon 2800,Flores, Capital Federal, Buenos Aires, Argentina",no,500000.0,8196.72131147541,53311792,-34.6318035,-58.4675017
USD 1.500,"Belgrano, Capital Federal",$ 158.905 Expensas,3.0,118.0,"Arcos 1440,Belgrano, Capital Federal, Buenos Aires, Argentina",si,1455000.0,12330.50847457627,53311829,-34.56644169183674,-58.4483318
$ 350.000,"Colegiales, Capital Federal",$ 31.475 Expensas,1.0,49.0,"Virrey Loreto 3400,Colegiales, Capital Federal, Buenos Aires, Argentina",no,350000.0,7142.857142857143,53311854,-34.5759765,-58.4565479
$ 400.000,"Floresta Sur, Floresta",$ 50.000 Expensas,3.0,80.0,,no,400000.0,5000.0,53311980,46.3144754,11.0480288
$ 600.000,"Villa Urquiza, Capital Federal",$ 50.000 Expensas,4.0,64.0,"La Pampa  4400 1°,Villa Urquiza, Capital Federal, Buenos Aires, Argentina",no,600000.0,9375.0,53312040,-34.5730154,-58.4682871
USD 1.300,"Puerto Madero, Capital Federal",,2.0,57.0,"Olga Cossetini  al 1500,Puerto Madero, Capital Federal, Buenos Aires, Argentina",si,1261000.0,22122.80701754386,53312115,-34.5989469,-58.3650277
USD 3.500,"Palermo Soho, Palermo",$ 100 Expensas,4.0,151.0,"Guatemala al 5100,Palermo Soho, Palermo, Buenos Aires, Argentina",si,3395000.0,22483.443708609277,53312126,-34.5885677,-58.4216556
$ 650.000,"Retiro, Capital Federal",$ 120.000 Expensas,3.0,70.0,"Arenales 1100,Retiro, Capital Federal, Buenos Aires, Argentina",no,650000.0,9285.714285714286,53312148,-34.5942815,-58.3824955
USD 750,"Palermo Hollywood, Palermo",,2.0,60.0,"SOLER 6000,Palermo Hollywood, Palermo, Buenos Aires, Argentina",si,727500.0,12125.0,53312168,-34.5777863,-58.4365694
$ 280.000,"Villa Urquiza, Capital Federal",$ 50.000 Expensas,2.0,36.0,"Congreso  5200 3°,Villa Urquiza, Capital Federal, Buenos Aires, Argentina",no,280000.0,7777.777777777777,53312207,-34.5651537,-58.4814183
